Handle,Title,10K Weight (g),14K Weight (g),18K Weight (g),Diamond Shapes,Total Diamonds,Diamond Weight (each),Total Diamond Weight,Size,Dimensions,10K Price,14K Price,18K Price,Diamond Price,Gold Price (14K),Making Charge,GST,Total Price (14K)
"the-horizon-split-ring","The Horizon Split Ring",1.748,1.955,2.3,"Round","38","0.008","0.304ct","14","1.2",24797,30818,38409,11448,15222,3250,898,30818
"triple-promise-emerald-band","Triple Promise Emerald Band",1.9608,2.193,2.58,"Emerald, emerald, round","1, 2, 16","1.75, 0.3, 0.012","1.75, 0.6, 0.192ct","17","8*3, 5*3, 1.4",86150,91915,101419,69476,17075,2686,2677,91915
"classic-five-stone-princess-ring","Classic Five Stone Princess Ring",1.786,1.9975,2.35,"Princess","5","0.13","0.65ct","7","2.75*2.75",29453,35604,43360,15693,15553,3321,1037,35604
"whisper-thin-diamond-eternity-ring","Whisper thin diamond eternity Ring",1.672,1.87,2.2,"Round","24","0.009","2.16ct","7","1.25",21341,27099,34361,8640,14560,3109,789,27099
"luxe-eternity-prong-ring","Luxe Eternity Prong Ring",2.508,2.805,3.3,"Oval, Round","1, 12","1.013, 0.045","1.013, 0.540ct","13.75","7.4*5.4, 2.2",56368,64870,77026,37705,21841,3436,1889,64870
"classic-sparkle-enagagement-ring","Classic Sparkle Enagagement Ring",2.85,3.1875,3.75,"Round, Round","1, 26","2.1, 0.012","2.1, 0.312ct","7","8.20, 1.40",95416,105080,118893,73295,24819,3905,3061,105080
"signature-soliataire-ring","Signature Soliataire Ring",2.166,2.4225,2.85,"Oval","1","2","2ct","7","9*7",85542,92885,103384,68350,18862,2968,2705,92885
"guiding-light-diamond-band-ring","Guiding Light Diamond Band Ring",2.28,2.55,3,"Oval, Round","1, 4","2, 0.06","2, 0.24ct","7","10.5*7, 2.40",90393,98123,109174,72286,19855,3124,2858,98123
"blush-oval-solitaire-ring","Blush Oval Solitaire Ring",2.66,2.975,3.5,"Round","1","2.5","2.5ct","7","8.8",99939,108958,121850,78975,23164,3644,3174,108958
"royal-spark-princess-solitaire-ring","Royal Spark Princess Solitaire Ring",2.964,3.315,3.9,"Princess","1","2","2ct","7","7*7",91120,101170,115535,68350,25812,4061,2947,101170
"timeless-grace-solitaire-ring","Timeless Grace Solitaire Ring",1.824,2.04,2.4,"Round","1","1.5","1.5ct","7","7.4",56935,62297,71138,42100,15884,2499,1814,62297
"minimalist-eternity-ring","Minimalist Eternity Ring",1.672,1.87,2.2,"Round","24","0.009","0.216ct","7","1.25",21341,27099,34361,8640,14560,3109,789,27099
"graceful-radiant-halo-ring","Graceful Radiant Halo Ring",2.698,3.0175,3.55,"Cushion, Round, Round","1, 32, 12","1, 0.05, 0.018","1, 0.16, 0.216ct","7","5.5*5.5, 1, 1.6",76270,85418,98495,55739,23495,3696,2488,85418
"hramony-round-diamond-trilogy-ring","Hramony Round Diamond Trilogy Ring",3.04,3.4,4,"Round, Round","1, 2","1.33, 0.239091","1.33,0.478ct","7","7.2, 3.8",70206,80513,95248,47530,26473,4165,2345,80513
"blushing-tear-drop-diamond-ring","Blushing Tear Drop Diamond Ring",2.926,3.2725,3.85,"Pear, Round","1, 16","2, 0.018","2, 0.288ct","7","10*7, 1.6",97410,107330,121512,74715,25481,4009,3126,107330
